Front,Back,Tags
struct vs class,Value vs reference · Trap: class for all models · Prod: BMS ad DTOs as structs,swift
COW,Share buffer until write · Trap: assume A sees B’s mutation · Prod: listing arrays,swift
actor (1-liner),Isolated reference type · Trap: use for all UI · Prod: modernize sync dicts,swift
enum state machine,Exhaustive states · Trap: boolean flags · Prod: payment popup,swift
`===`,Referential identity · Trap: use for structs · Prod: VC identity,swift
indirect enum,Heap box for recursion · Trap: forget indirect · Prod: nested domain trees,swift
Prefer values when,No identity needed · Trap: premature class · Prod: Clean models,swift
Nested class in struct copy,Reference shared · Trap: think deep copy · Prod: mixed graphs,swift
`@MainActor` vs actor,UI affinity vs general isolation · Trap: conflate · Prod: VM on main,swift
LoadState\<T\>,idle/loading/loaded/failed · Trap: isLoading+optional · Prod: search MVVM,swift
POP,Compose protocols · Trap: deep inheritance · Prod: Ads pipeline,swift
associatedtype,Conformer picks type · Trap: use as easy existential · Prod: AdRenderable,swift
some vs any,Opaque vs existential · Trap: synonym · Prod: View returns,swift
Type erasure,Box PAT · Trap: free · Prod: heterogeneous ads list,swift
Protocol extension dispatch,Defaults may be static · Trap: expect override · Prod: shared track(),swift
Generics benefit,Specialize + safety · Trap: Any everywhere · Prod: HeroWidget,swift
AnyObject protocol,Class-bound · Trap: struct conform · Prod: weak delegate,swift
Conditional conformance,where on extension · Trap: always free · Prod: model arrays,swift
Composition A & B,Multi-capability · Trap: multiple inheritance myth · Prod: Render+Track,swift
Open vs closed SDUI,Registry vs enum · Trap: enum forever · Prod: BMS header,swift
Serial queue,Mutex via queue · Trap: sync re-entry · Prod: S2 dicts,concurrency
Concurrent + barrier,RW pattern · Trap: write without barrier · Prod: read-heavy caches,concurrency
sync deadlock,Wait on current queue · Trap: only main · Prod: UI hops use async,concurrency
DispatchGroup,Join parallel work · Trap: forget leave · Prod: prefetch,concurrency
QoS,Priority/energy · Trap: always userInteractive · Prod: analytics batch,concurrency
Race,Unsynchronized share · Trap: intermittent ignore · Prod: BMS crashes,concurrency
Safe dict API,Hide storage · Trap: return mutable ref · Prod: S2,concurrency
Semaphore,Limit concurrency · Trap: deadlock wait · Prefer TaskGroup later,concurrency
Main UI rule,UI on main · Trap: parse JSON on main · Prod: search bind,concurrency
async write / sync read,Common serial pattern · Trap: return unsafely · Prod: S2,concurrency
Reader-writer,Parallel reads · Trap: writer starve · Prod: optional upgrade,concurrency
Actor vs GCD,Language isolation · Trap: rewrite all now · Prod: new code actors,concurrency
Structured concurrency,Parent owns children · Trap: detached everywhere · Prod: search tasks,concurrency
Actor,Isolated mutable state · Trap: no reentrancy · Prod: S2 future,concurrency
Reentrancy,State may change after await · Trap: assume continuity · Prod: token refresh,concurrency
Sendable,Cross-domain safe · Trap: @unchecked casually · Prod: Swift 6,concurrency
@MainActor,UI isolation · Trap: heavy work on main · Prod: VM,concurrency
Task cancel,Cooperative · Trap: kill thread · Prod: debounce,concurrency
MVVM one-liner,View renders state; VM presentation + async; Model domain · Trap: networking in View · Prod: BMS search VM,architecture
Clean one-liner,UseCases/entities independent of UI · Trap: Clean everywhere · Prod: District Free Parking rules,architecture
MVI one-liner,Intent → reduce → State → View · Trap: boilerplate for CRUD · Prod: payment/live state cousins,architecture
Where debounce lives,VM/UseCase presentation policy · Trap: only in URLSession · Prod: BMS search,architecture
DI default,Protocol + constructor injection · Trap: service locator for domain · Prod: testable VMs,architecture
Repository duty,Cache/remote + DTO map · Trap: business rules in repo · Prod: search repository,architecture
Fat VM smell,Networking + routing + rules · Fix: UseCase + Router · Prod: S9 extract,architecture
AI in migration,Accelerate inside envelope + review · Trap: “AI wrote it” · Prod: S9 Context Engineering,architecture
Navigation ownership,Events from VM; Coordinator for cross-feature · Trap: UIKit in UseCase · Prod: S13 deeplinks,architecture
Fail-soft UI states,loading/empty/error/success · Trap: spinner forever · Prod: BMS search,architecture
When not Clean,"Trivial UI, no shared domain · Trap: resume padding · Prod: judgment call",architecture
Test pyramid tip,UseCase unit tests cheapest · Trap: only UITests · Prod: District XCTest,architecture
Strangler migration,"Incremental extract, flags · Trap: rewrite · Prod: District",architecture
Protocol boundary,Network/Search/Analytics · Trap: protocol every struct · Prod: S1/S10,architecture
Scale link,Clear layers reduce blast radius · Trap: architecture = crash-free alone · Prod: 30L DAU + S8,architecture
Pause video where,willDisappear / offscreen · Trap: only deinit · Prod: S1 HeroWidget,swift architecture
prepareForReuse,Reset async + UI · Trap: stale images · Prod: lists,swift architecture
Prefetch cancel,cancelPrefetching… · Trap: unbounded downloads · Prod: data budget,swift architecture
SwiftUI in UIKit,UIHostingController · Trap: sizing/safeArea · Prod: S13,swift architecture
UIKit in SwiftUI,Representable + Coordinator · Trap: recreate storms · Prod: S13,swift architecture
Deeplink owner,App-edge router → intent · Trap: dual stacks · Prod: S13,swift architecture
Bottom sheet win,Context kept; fewer pushes · Trap: deep flows in sheet · Prod: S6 30%+,swift architecture
Diffable benefit,Identity diffs · Trap: unstable IDs · Prod: fewer reload bugs,swift architecture
Appear vs load,Refresh vs once · Trap: network only in didLoad · Prod: tabs,swift architecture
Cell retain cycle,weak self + clear handlers · Trap: strong VC in cell · Prod: leaks,swift architecture
Airship tap path,Same deeplink router · Trap: parallel nav · Prod: S13,swift architecture
Hybrid cost,Lifecycle + identity · Trap: bolt hosting · Prod: S13 lesson,swift architecture
Estimated size,Close to real · Trap: 1pt estimates · Prod: jank,swift architecture
Networking SDK core,Endpoint → build → intercept → session → decode · Trap: UI in client · Prod: Ads URLSession,networking
Single-flight refresh,One refresh Task; waiters share · Trap: N refreshes · Prod: auth storms,networking
Cancel search,Cancel Task on new query · Trap: show cancel as error · Prod: S3,networking
Retry safe?,Idempotent GET + backoff · Trap: POST payments · Prod: S7,networking
URLCache vs app cache,Headers vs domain/offline · Trap: cache private unkeyed · Prod: SDUI Day 10,networking
